country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ghana,34,34,34,34,37,38,39,37,37,36,37,36,36,36,36,37,36,35,32,32,32,32,32,32,32,41,41,41,41,41,41,41,41,41,41,41,41,41,39,39,40,38,37,37
Greece,49,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,49,49,49,49,49,49,49,49,49,51,51,55,55,55,55,55,55
Guatemala,32,32,32,25,25,25,27,27,34,34,34,26,26,26,26,26,26,26,29,29,29,33,33,33,32,29,29,27,27,32,32,32,32,33,34,34,34,34,34,34,33,39,36,30
Guinea,41,41,41,41,41,41,41,41,41,41,29,23,23,23,23,23,23,23,23,17,15,15,15,15,15,15,15,15,15,14,14,14,14,14,18,19,33,33,33,33,33,33,35,31
Guinea-Bissau,38,38,38,38,38,29,27,27,27,27,27,28,28,28,28,28,28,28,28,14,14,14,14,15,15,13,13,13,13,17,17,17,17,17,17,17,17,14,19,20,20,19,21,21
Haiti,21,21,21,21,21,21,21,21,21,20,20,20,22,22,22,22,22,24,24,24,24,25,27,26,26,26,24,24,24,24,22,22,22,22,22,22,22,22,28,28,28,28,28,23
Honduras,24,24,24,24,24,24,24,23,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,23,22,22,23,23,23,23,23,23,23,23,26,28,27,27,25,25,27,23
Hungary,52,52,52,52,51,51,51,51,51,52,52,52,52,52,53,60,64,62,62,62,62,62,62,62,60,60,59,59,58,58,58,58,58,58,58,55,52,53,55,55,55,55,55,52
India,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,51,52,52,52,52,52,52,52,52,51,51,51,51,51,51,51,51,51,51,51,51,53,53,53,53,53,53
Indonesia,26,26,26,23,22,22,22,14,14,13,13,13,13,13,13,13,14,14,15,15,15,15,14,26,35,36,36,36,36,37,39,39,40,40,40,39,39,39,39,39,42,42,42,41
Iran,55,55,55,55,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,46,46,48,48,48,48,48,48,48,48,39,39,39,39,39,41,41,41,42,42,42,43,43,40
Iraq,34,34,32,32,32,28,28,28,28,28,29,29,29,29,28,28,27,27,27,27,27,27,27,27,27,25,25,24,27,31,30,30,30,30,30,29,29,29,24,24,24,22,27,30
Ireland,72,72,72,72,70,70,70,70,70,71,71,71,71,71,71,71,71,71,71,71,71,74,73,75,75,75,75,76,76,75,76,76,76,76,77,77,78,78,78,78,78,78,82,82
Israel,58,58,58,60,60,60,60,60,60,61,66,66,66,66,66,66,66,66,66,66,66,66,65,65,65,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,62,64
Italy,63,63,63,63,63,61,61,61,61,61,61,61,61,61,59,59,59,59,59,58,58,65,66,65,65,62,58,58,58,58,58,63,63,57,57,60,64,64,60,59,59,61,63,64
Jamaica,58,58,58,58,58,58,58,58,58,57,57,57,57,57,57,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,61,62,62,66,66,66,66,60,60
Japan,74,74,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,77,77,77,76,77,77,77,77,77,77,77,77,77,77,77,77,78,78,78,80,80,77,77,79,79
Jordan,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,52,52,52,52,52,52,52,52,52,56,53,50,50,50,50,50,50,50,50,50,50,50,49,47,47,48,49,49,50
Kazakhstan,,,,,,,,,,,,,,,,,32,32,32,32,32,32,32,32,33,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,35,35,37
Kenya,30,30,30,28,28,28,28,28,24,24,25,25,25,25,25,28,28,28,30,30,30,30,29,29,29,33,33,33,34,34,34,34,34,34,34,32,33,32,39,39,39,36,34,34
Kuwait,47,47,47,47,47,45,45,45,45,46,46,46,46,46,46,46,45,44,45,45,45,45,45,45,45,44,44,44,44,43,43,43,44,44,44,44,44,43,43,43,44,44,46,46
Kyrgyz Republic,,,,,,,,,,,,,,,,,47,40,37,29,27,26,26,26,26,24,25,24,24,24,16,16,13,13,13,28,31,26,31,31,26,25,24,24
Lao,29,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,29,28,28,28,31,29
Latvia,,,,,,,,,,,,,,,,,59,59,59,58,58,59,59,59,62,60,60,62,62,62,62,62,62,64,65,69,69,73,71,73,73,67,67,67
Lebanon,31,42,42,42,42,42,42,40,26,27,27,27,27,27,25,28,28,29,29,30,30,28,28,28,28,28,28,28,28,28,34,34,34,34,34,34,35,34,34,34,34,36,36,36
Lesotho,40,40,40,40,40,40,40,40,40,40,40,36,38,38,38,38,38,38,49,49,49,49,49,38,38,38,38,37,41,41,41,41,41,41,41,41,41,42,48,48,41,44,46,44
Liberia,36,36,36,36,36,28,28,28,28,27,28,28,28,27,23,16,19,19,19,20,17,17,19,19,19,21,21,21,20,23,30,37,37,37,37,37,37,37,37,37,37,37,32,32
Libya,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,26,30,30,30,35,32,25,25
Lithuania,,,,,,,,,,,,,,,,,65,65,67,67,67,67,67,67,67,67,68,68,67,69,69,69,72,72,72,72,72,72,67,67,67,72,66,64
"Macedonia, FYR",,,,,,,,,,,,,,,,,51,51,47,47,47,47,47,47,47,47,47,47,46,46,46,45,46,44,44,44,38,38,38,38,38,41,48,44
Madagascar,42,34,34,34,34,34,34,34,34,34,35,35,35,35,35,35,35,38,38,38,38,38,30,28,28,28,28,33,34,34,34,34,34,34,26,26,26,25,29,32,32,32,31,32
Malawi,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,69,39,37,37,37,37,37,37,36,36,36,36,38,38,38,38,38,31,31,31,30,33,33,30,35,36
Malaysia,48,48,48,48,48,48,44,41,41,42,42,41,41,41,41,41,40,40,40,40,40,40,40,39,39,39,39,37,36,36,38,38,38,38,37,38,39,39,44,44,44,44,45,54
Mali,37,37,37,37,37,37,37,37,37,36,36,36,36,36,36,37,42,35,32,32,32,32,26,26,26,26,26,35,36,36,36,36,36,36,36,36,36,35,37,37,37,37,36,36
Mauritania,41,41,41,40,38,38,38,38,38,38,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,28,35,35,33,33,33,33,33,30,30,30,30,31,32
Mauritius,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,45,47
Mexico,33,33,33,33,33,33,33,39,40,41,41,41,41,41,41,41,41,41,41,45,48,48,49,49,49,52,53,52,50,50,50,51,51,51,51,51,51,48,39,38,38,38,46,47
Moldova,,,,,,,,,,,,,,,,,43,41,41,39,39,39,39,39,39,39,37,36,36,36,36,36,36,36,38,43,43,43,41,41,36,28,36,32
Mongolia,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,59,59,56,56,56,56,56,56,56,56,47,46,46,46,46,46,46,46,46,46,46,46,45,44,44,44,44,43,39
Morocco,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38,39,39,40,40,40,40,44,43,43,43,41,47,47,46
Mozambique,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,47,46,46,46,41,36,36,36,36,36,35,35,34,34,34,34,34,32,32,32,32,32,32,35,35,34,36,36,37
Myanmar,27,27,27,27,27,27,27,27,27,27,27,27,27,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,33,33,40,40,41,47,48,49
Namibia,,,,,,,,,,,,,,,,55,55,55,55,55,55,55,55,55,55,55,54,54,54,54,54,54,54,54,54,54,55,55,57,57,57,57,56,56
Nepal,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,34,32,32,32,32,32,32,32,33,33,33,33,33,33,36,36,35,35,35,39
Netherlands,79,79,79,79,79,76,76,76,76,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,75,75,75,75,75,75,75,75,75,75,75,82,82,85,85,85,85
New Zealand,91,91,91,91,91,91,91,91,91,92,92,92,92,92,92,92,92,92,92,92,92,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,85,84
Nicaragua,4,4,4,4,27,43,43,43,43,44,43,43,38,36,36,48,50,52,52,52,52,41,30,30,30,30,37,38,38,38,38,37,35,35,35,36,36,36,35,35,35,35,37,30
Niger,51,51,51,51,51,51,51,51,51,51,52,52,34,34,34,33,38,37,37,37,37,37,36,36,36,36,36,36,36,36,36,36,36,36,36,39,42,39,39,39,39,39,39,39
Nigeria,23,23,23,23,16,16,16,16,16,24,25,19,19,19,19,19,19,19,19,19,19,19,19,18,16,16,16,16,16,16,16,16,16,16,16,22,22,22,19,19,29,31,37,35
North Korea,29,29,29,29,29,29,29,29,29,29,30,30,29,29,29,28,28,28,28,20,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,21,21,21,21,22,21
Norway,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,89,89,89,89,87,85
Oman,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,50,50,49,49,49,49,49,49,51,51,52,52,52,52,52,54
Pakistan,40,40,40,40,40,42,42,42,42,41,42,42,42,36,36,31,31,31,31,31,31,31,31,31,33,40,40,38,38,38,38,38,38,28,28,29,29,29,28,37,37,37,37,41
Panama,45,45,45,45,45,38,36,18,18,18,18,18,18,18,18,32,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,48,48,48,48,48,49
Papua New Guinea,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,37,37,36,36,36,36,36,36,36,36
Paraguay,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,12,13,15,15,15,15,15,15,15,15,26,25,25,33,34,34,34,34,38,38,38,38,36,35,35,35,35,36,38
Peru,46,46,46,46,46,51,51,51,51,51,47,45,45,45,45,43,43,43,42,42,42,42,42,42,42,43,53,49,49,49,49,48,48,48,48,48,51,51,48,48,51,51,53,53
